Year,Code,Name,Short Name,Semester,Degree
1,G4012101,Fundamentos Matemáticas,FuMat,1SG,G4012P01
1,G4012102,Álxebra,Alxebra,1SG,G4012P01
1,G4012103,Matemática Discreta,MatDis,1SG,G4012P01
1,G4012104,Sistemas Dixitais,SisDix,1SG,G4012P01
1,G4012105,Programación I,ProgI,1SG,G4012P01
1,G4012106,Fundamentos Tecnolóxicos e Físicos da Informática,FuTFI,2SG,G4012P01
1,G4012107,Estatística,Estat,2SG,G4012P01
1,G4012108,Fundamentos Computadores,FuCom,2SG,G4012P01
1,G4012109,Programación II,ProgII,2SG,G4012P01
1,G4012121,Cálculo e Análise Numérica,CAN,2SG,G4012P01
2,G4012201,Xestión Financeira Empresas,OXE,2SG,G4012P01
2,G4012221,Bases Datos I,BDI,1SG,G4012P01
2,G4012222,Algoritmos e Estruturas de Datos,AED,1SG,G4012P01
2,G4012223,Sistemas Operativos I,SOI,1SG,G4012P01
2,G4012224,Redes,Redes,1SG,G4012P01
2,G4012225,Programación Orientada a Obxectos,POO,1SG,G4012P01
2,G4012226,Bases de Datos II,BDII,2SG,G4012P01
2,G4012227,Sistemas Operativos II,SOII,2SG,G4012P01
2,G4012228,Arquitectura Computadores,ArqComp,2SG,G4012P01
2,G4012229,Computación Gráfica,CoGa,2SG,G4012P01
2,G4012230,Deseño de Software,DeSo,2SG,G4012P01
3,G4012321,Teoría Autómatas e Linguaxes Formais,TALF,1SG,G4012P01
3,G4012322,Administración Sistemas e Redes,ASR,1SG,G4012P01
3,G4012323,Desenvolvemento de Aplicacións Web,DAW,2SG,G4012P01
3,G4012324,Xestión de Proxectos Informáticos,XPI,2SG,G4012P01
3,G4012325,Enxeñaría do Software,EnSo,ANG,G4012P01
3,G4012326,Computación Distribuída,CoDi,1SG,G4012P01
3,G4012327,Compiladores e Intérpretes,CompI,2SG,G4012P01
3,G4012328,Intelixencia Artificial,IA,1SG,G4012P01
3,G4012329,Seguridade da Información,SegIn,2SG,G4012P01
3,G4012330,Ciberseguridade,Ciber,2SG,G4012P01
4,G4012421,Interacción Persoa-Ordenador,IPO,1SG,G4012P01
4,G4012422,Enxeñaría de Computadores,EnCo,1SG,G4012P01
4,G4012441,Fundamentos de Sistemas Paralelos,FSP,1SG,G4012P01
4,G4012442,Visualización Avanzada,VA,1SG,G4012P01
4,G4012443,Calidade dos Sistemas Información,CSI,1SG,G4012P01
4,G4012444,Almacéns e Minaría Datos,AMD,1SG,G4012P01
4,G4012445,Coñecemento e Razoamento Automático,CRA,1SG,G4012P01
4,G4012446,Sistemas Intelixentes,SisIntel,1SG,G4012P01
4,G4012447,Deseño e Administración de Redes,DAR,1SG,G4012P01
4,G4012448,Enxeñaría de Servizos,EnSe,1SG,G4012P01
4,G4012449,Computación na Nube,CoNu,1SG,G4012P01
4,G4012451,Computación Ubicua,ComUb,2SG,G4012P01
4,G4012452,Programación de Arquitecturas Emerxentes,PrArE,2SG,G4012P01
4,G4012453,Xestión de Información Non Estruturada,XINE,2SG,G4012P01
4,G4012454,Modelos e Técnicas de Optimización,MTO,2SG,G4012P01
4,G4012455,Aprendizaxe Automática,AprAu,2SG,G4012P01
4,G4012424,Prácticas Externas,Practicas,PEG,G4012P01
4,G4012423,Traballo Fin de Grao,Tfg,TFG,G4012P01
1,G4021101,Física,,ANG,G4021P01
1,G4021102,Informática,,ANG,G4021P01
1,G4021103,Matemáticas,,ANG,G4021P01
1,G4021104,Química Fundamental,,1SG,G4021P01
1,G4021105,Química Inorgánica,,2SG,G4021P01
1,G4021106,Estatística,,2SG,G4021P01
1,G4021121,Fundamentos de Procesos Químicos,,1SG,G4021P01
1,G4021122,Inglés Técnico,,1SG,G4021P01
1,G4021123,Análise de Procesos Químicos,,2SG,G4021P01
2,G4021201,Ecuacións Diferenciais,,1SG,G4021P01
2,G4021202,Expresión Gráfica,,2SG,G4021P01
2,G4021203,Economía de Empresa,,2SG,G4021P01
2,G4021204,Química Orgánica,,2SG,G4021P01
2,G4021221,Química Analítica,,1SG,G4021P01
2,G4021222,Termodinámica Aplicada á Enxeñaría Química,,1SG,G4021P01
2,G4021223,Electrotecnia,,1SG,G4021P01
2,G4021224,Transporte de Fluídos,,1SG,G4021P01
2,G4021225,Transmisión de Calor,,2SG,G4021P01
2,G4021226,Laboratorio de Transporte de Fluídos e Transmisión de Calor,,2SG,G4021P01
3,G4021321,Ciencia de Materiais,,1SG,G4021P01
3,G4021322,Transferencia de Materia,,1SG,G4021P01
3,G4021323,Sistemas de produción Industrial,,1SG,G4021P01
3,G4021324,Enxeñaría da Reacción Química,,1SG,G4021P01
3,G4021325,Enxeñaría Ambiental,,2SG,G4021P01
3,G4021326,Enxeñaría Bioquímica,,1SG,G4021P01
3,G4021327,Control de Procesos,,2SG,G4021P01
3,G4021328,Reactores Químicos,,2SG,G4021P01
3,G4021329,Enxeñaría de Procesos,,2SG,G4021P01
3,G4021330,Fundamentos de Máquinas e Resistencia de Materiais,,1SG,G4021P01
3,G4021341,Operacións de Separación,,2SG,G4021P01
3,G4021342,Xestión da Calidade,,2SG,G4021P01
3,G4021343,Xestión e Tratamento de Residuos,,2SG,G4021P01
3,G4021344,Xestión e Tratamento de Augas,,2SG,G4021P01
4,G4021421,Laboratorio de Procesos Químicos,,1SG,G4021P01
4,G4021422,Proxectos e Deseños de Instalacións,,1SG,G4021P01
4,G4021423,Simulación e Optimización,,1SG,G4021P01
4,G4021424,Automática Industrial,,1SG,G4021P01
4,G4021425,AP Itinerario Cursos e Seminarios,,2SG,G4021P01
4,G4021426,AP Itinerario Prácticas en Empresas,,PEG,G4021P01
4,G4021427,Traballo fin de Grao,,TFG,G4021P01
4,G4021441,Procesos de Química Industrial,,1SG,G4021P01
4,G4021442,Seguridade e Prevención de Riscos,,1SG,G4021P01
4,G4021443,Prevención e Control da Contaminación Atmosférica,,1SG,G4021P01
4,G4021444,Laboratorio de Enxeñaría Ambiental,,1SG,G4021P01
1,G4121101,Álxebra,,1SG,G4121P01
1,G4121102,Cálculo e análise numérica,,1SG,G4121P01
1,G4121103,Matemática discreta,,1SG,G4121P01
1,G4121104,Programación I,,1SG,G4121P01
1,G4121105,Introdución aos computadores,,1SG,G4121P01
1,G4121106,Estatística,,2SG,G4121P01
1,G4121107,Programación II,,2SG,G4121P01
1,G4121108,Adquisición e procesamento de sinal,,2SG,G4121P01
1,G4121109,Lóxica,,2SG,G4121P01
1,G4121110,Xestión de organizacións,,2SG,G4121P01
1,P4191101,Arquitecturas de altas prestacións,,1SG,P4191P01
1,P4191102,Programación paralela,,1SG,P4191P01
1,P4191103,Programación de arquitecturas heteroxéneas,,1SG,P4191P01
1,P4191104,Infraestruturas de altas prestacións,,1SG,P4191P01
1,P4191105,Taller de proxectos,,2SG,P4191P01
1,P4191201,Ferramentas para HPC,,1SG,P4191P01
1,P4191202,HPC na nube,,1SG,P4191P01
1,P4191203,Programación paralela avanzada,,2SG,P4191P01
1,P4191204,Análise de datos con HPC,,2SG,P4191P01
1,P4191106,Prácticas profesionais,,PEG,P4191P01
1,P4191107,Traballo fin de máster,,TFG,P4191P01
1,P4013101,Procesos ambientais e economía circular,,1SG,P4013P01
1,P4013201,Calidade de augas,,1SG,P4013P01
1,P4013202,Solos e medio ambiente,,1SG,P4013P01
1,P4013203,Medio ambiente atmosférico,,1SG,P4013P01
1,P4013204,Ecotoxicoloxía,,1SG,P4013P01
1,P4013205,Proxectos de enxeñaría ambiental,,1SG,P4013P01
1,P4013206,Modelización ambiental,,1SG,P4013P01
1,P4013102,Sistemas de xestión e avaliación do impacto ambiental,,1SG,P4013P01
1,P4013103,Deseño ecolóxico de procesos e produtos,,1SG,P4013P01
1,P4013207,Tecnoloxías limpas,,1SG,P4013P01
1,P4013208,Aplicación de SIX na análise territorial,,1SG,P4013P01
1,P4013104,Enxeñaría para o tratamento de augas,,2SG,P4013P01
1,P4013105,Tecnoloxías de tratamento de residuos,,2SG,P4013P01
1,P4013106,Experimentación en enxeñaría ambiental,,2SG,P4013P01
1,P4013107,Instrumentación e monitorización ambiental,,2SG,P4013P01
1,P4013209,Simulación e deseño avanzado de EDAR,,2SG,P4013P01
1,P4013210,Tecnoloxías de tratamento de solos contaminados,,2SG,P4013P01
1,P4013211,Experimentación en solos e residuos,,2SG,P4013P01
1,P4013108,Creación e xestión de empresas,,2SG,P4013P01
1,P4013109,Habilidades de dirección,,2SG,P4013P01
1,P4013212,Gobernanza ambiental institucións e RSC,,2SG,P4013P01
1,P4013213,Dereito ambiental,,2SG,P4013P01
2,P4013110,Traballo fin de máster,,TFG,P4013P01
2,P4013111,Prácticas externas,,PEG,P4013P01
2,P4013214,Retos emerxentes no tratamiento de augas,,1SG,P4013P01
2,P4013215,Tratamento de efluentes gaseosos,,1SG,P4013P01
2,P4013216,Análise e minería de datos ambientais,,1SG,P4013P01
2,P4013217,Xestion de sistemas naturais,,1SG,P4013P01
1,P4141101,Biocatálise,,1SG,P4141P01
1,P4141102,Bioenxeñaría,,1SG,P4141P01
1,P4141103,Bioprocesos,,1SG,P4141P01
1,P4141104,Modelización mediante fenómenos de Transporte,,1SG,P4141P01
1,P4141105,Análise e xestión de riscos industriais,,1SG,P4141P01
1,P4141106,Simulación con métodos numéricos,,1SG,P4141P01
1,P4141107,Enerxética industrial,,1SG,P4141P01
1,P4141108,Deseño conceptual de procesos,,1SG,P4141P01
1,P4141109,Habilidades directivas,,2SG,P4141P01
1,P4141110,Xestión empresarial,,2SG,P4141P01
1,P4141111,Creación de empresas,,2SG,P4141P01
1,P4141112,Dirección de Proxectos de Enxeñaría,,2SG,P4141P01
1,P4141113,Planificación da investigación,,2SG,P4141P01
1,P4141201,Tecnoloxías para a valorización da biomasa,,2SG,P4141P01
1,P4141202,Enerxía e contaminación atmosférica,,2SG,P4141P01
1,P4141203,Xestión do ciclo de vida de produtos e procesos,,2SG,P4141P01
1,P4141204,Indicadores e metodoloxías de sustentabilidade corporativa,,2SG,P4141P01
1,P4141205,Reoloxía de Biopolímeros,,2SG,P4141P01
1,P4141206,Líquidos iónicos en procesos químicos e bioprocesos,,2SG,P4141P01
1,P4141207,Modelización termodinámica e cinética de procesos de secado,,2SG,P4141P01
1,P4141208,Ecoprocesos para o tratamento de augas,,2SG,P4141P01
1,P4141209,Tecnoloxías innovadoras para o tratamento de efluentes,,2SG,P4141P01
1,P4141210,Técnicas e metodoloxías en laboratorios de I+D,,2SG,P4141P01
2,P4141114,Prácticas en empresa,,1SG,P4141P01
2,P4141115,Traballo fin de máster,,TFG,P4141P01
1,P4251101,Fundamentos de IA,,1SG,P4251P01
1,P4251102,Enxeñaría de Datos,,1SG,P4251P01
1,P4251103,Razoamento e Planificación,,1SG,P4251P01
1,P4251104,IA Explicable e Confiable,,2SG,P4251P01
1,P4251105,Sistemas Multiaxente,,2SG,P4251P01
2,P4251121,Aspectos computacionais da Ciencia Cognitiva,,1SG,P4251P01
1,P4251122,Coñecemento e Razoamento con Incerteza,,2SG,P4251P01
1,P4251106,Comprensión da Linguaxe Natural,,1SG,P4251P01
1,P4251107,Modelado da Linguaxe,,2SG,P4251P01
1,P4251123,Intelixencia Web e Tecnoloxías Semánticas,,2SG,P4251P01
2,P4251124,Minaría de Textos,,1SG,P4251P01
1,P4251108,Aprendizaxe Automática I,,1SG,P4251P01
