Course,Session Type,Duration,Num Per Week,Num Groups
G4012101,CLE,60,2,1
G4012101,CLIL,120,1,4
G4012102,CLE,60,2,1
G4012102,CLIS,60,1,3
G4012102,CLIL,90,1,5
G4012103,CLE,60,2,1
G4012103,CLIS,60,1,3
G4012103,CLIL,90,1,4
G4012104,CLE,90,1,1
G4012104,CLIL,180,1,5
G4012105,CLE,60,2,1
G4012105,CLIL,150,1,5
G4012106,CLE,60,2,1
G4012106,CLIS,60,1,2
G4012106,CLIL,120,1,5
G4012107,CLE,60,2,1
G4012107,CLIS,60,1,3
G4012107,CLIL,150,1,4
G4012108,CLE,90,1,1
G4012108,CLIL,180,1,5
G4012109,CLE,60,2,1
G4012109,CLIL,150,1,5
G4012121,CLE,60,2,1
G4012121,CLIL,120,1,4
G4012201,CLE,90,1,1
G4012201,CLIS,60,1,2
G4012201,CLIL,120,1,4
G4012221,CLE,90,1,1
G4012221,CLIL,180,1,4
G4012222,CLE,60,2,1
G4012222,CLIL,150,1,4
G4012223,CLE,60,2,1
G4012223,CLIL,150,1,5
G4012224,CLE,90,1,1
G4012224,CLIL,180,1,5
G4012225,CLE,120,1,1
G4012225,CLIL,150,1,4
G4012226,CLE,60,1,1
G4012226,CLIL,150,1,4
G4012227,CLE,60,1,1
G4012227,CLIL,150,1,5
G4012228,CLE,90,1,1
G4012228,CLIL,120,1,4
G4012229,CLE,90,1,1
G4012229,CLIL,120,1,4
G4012230,CLE,60,2,1
G4012230,CLIL,180,1,4
G4012325,CLE,60,2,1
G4012325,CLIL,150,1,4
G4012321,CLE,60,1,1
G4012321,CLE,120,1,1
G4012321,CLIL,120,1,4
G4012322,CLE,60,1,1
G4012322,CLIL,120,2,4
G4012326,CLE,60,2,1
G4012326,CLIL,180,1,4
G4012328,CLE,60,1,1
G4012328,CLE,120,1,1
G4012328,CLIL,180,1,4
G4012323,CLE,60,1,1
G4012323,CLIL,180,1,4
G4012324,CLE,60,1,1
G4012324,CLIL,150,1,4
G4012327,CLE,60,2,1
G4012327,CLIL,120,1,4
