Centro,Código Espazo,Espazo,Capacidade,Edificio,Andar,Sector
Escola Técnica Superior de Enxeñaría,L17,5250/ Lab L1.7,,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,L27,5250/Lab. L2.7,,2ba481e6-8ddb-4842-b40d-e993024d3298,2,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,A1,Aula A1,135,2ba481e6-8ddb-4842-b40d-e993024d3298,3,Docencia
Escola Técnica Superior de Enxeñaría,A2,Aula A2,124,2ba481e6-8ddb-4842-b40d-e993024d3298,2,Docencia
Escola Técnica Superior de Enxeñaría,A3,Aula A3,112,2ba481e6-8ddb-4842-b40d-e993024d3298,2,Docencia
Escola Técnica Superior de Enxeñaría,A4,Aula A4,100,2ba481e6-8ddb-4842-b40d-e993024d3298,2,Docencia
Escola Técnica Superior de Enxeñaría,A5,Aula A5,42,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Docencia
Escola Técnica Superior de Enxeñaría,A6,Aula A6,54,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Docencia
Escola Técnica Superior de Enxeñaría,A7,Aula A7,54,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Docencia
Escola Técnica Superior de Enxeñaría,A8,Aula A8,42,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Docencia
Escola Técnica Superior de Enxeñaría,I4,Aula de Informática I4,21,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,I1,Aula de Informática I1,28,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Docencia
Escola Técnica Superior de Enxeñaría,I2,Aula de Informática I2,27,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Docencia
Escola Técnica Superior de Enxeñaría,I3,Aula de Informática I3,20,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,I5,Aula de Informática I5,5,0adfb5b9-5cbb-472f-82a5-94c7a3b3a404,0,Bloque IV
Escola Técnica Superior de Enxeñaría,I6,Aula de Informática I6,20,0adfb5b9-5cbb-472f-82a5-94c7a3b3a404,0,Bloque IV
Escola Técnica Superior de Enxeñaría,I7,Aula de Informática I7,20,0adfb5b9-5cbb-472f-82a5-94c7a3b3a404,0,Bloque IV
Escola Técnica Superior de Enxeñaría,I8,Aula de Informática I8,5,0adfb5b9-5cbb-472f-82a5-94c7a3b3a404,0,Bloque IV
Escola Técnica Superior de Enxeñaría,AT,Aula Traballo,10,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Docencia
Escola Técnica Superior de Enxeñaría,AT3,Aula Traballo 3,15,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,IA01,IA.01,80,316e42cf-f6bc-4742-a980-e9d10b7628f1,0,
Escola Técnica Superior de Enxeñaría,IA02,IA.02,28,316e42cf-f6bc-4742-a980-e9d10b7628f1,0,
Escola Técnica Superior de Enxeñaría,IA03,IA.03,28,316e42cf-f6bc-4742-a980-e9d10b7628f1,0,
Escola Técnica Superior de Enxeñaría,IA04,IA.04,28,316e42cf-f6bc-4742-a980-e9d10b7628f1,0,
Escola Técnica Superior de Enxeñaría,IA13,IA.13,28,316e42cf-f6bc-4742-a980-e9d10b7628f1,1,
Escola Técnica Superior de Enxeñaría,IA14,IA.14,28,316e42cf-f6bc-4742-a980-e9d10b7628f1,1,
Escola Técnica Superior de Enxeñaría,IAS1,IA.S1,90,316e42cf-f6bc-4742-a980-e9d10b7628f1,-1,
Escola Técnica Superior de Enxeñaría,IAS2,IA.S2,28,316e42cf-f6bc-4742-a980-e9d10b7628f1,-1,
Escola Técnica Superior de Enxeñaría,LB3,L.B.3.Laboratorio de enxeñería Ambiental,25,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,LB4,L.B.4. Laboratorio de E.R.Q,25,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,LB5,L.B.5. Laboratorio de fenómenos de transporte,25,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,LB12,Laboratorio de equilibrio/catálisis,,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,LB1,LB 1- Laboratorio de fluidos y calor,25,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,LB2,LB 2  Laboratorio general,25,2ba481e6-8ddb-4842-b40d-e993024d3298,0,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,PP,Planta Piloto,25,2ba481e6-8ddb-4842-b40d-e993024d3298,-1,Enxeñaría Química
Escola Técnica Superior de Enxeñaría,Prox,PROXECTOS,50,2ba481e6-8ddb-4842-b40d-e993024d3298,1,Docencia
